trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
3.078947368421052744e+01,1.000000000000000000e+00,1.000000000000000000e+01,3.200138339730793291e+01,1.090121834551657010e+00,3.374237234444598332e+00,5.344075929010168313e-02,1.639625315875950617e+00,9.012183455165707902e-02,5.325278803699667662e+00,9.012183455165708068e+00,7.168731129432688753e+00,1.594369347214507737e+00,2.798273728076731692e-01,5.178293606337716071e+00,2.798273728076732070e+01,1.377429043652241702e+01
3.078947368421052744e+01,2.000000000000000000e+00,1.000000000000000000e+01,3.173333654551546346e+01,2.408885536397272098e+00,2.280845745832144722e+00,3.560113422535612915e-01,2.641636404069064081e+00,4.088855363972717649e-01,8.579673790993542326e+00,2.044427681986358891e+01,1.451197530542856384e+01,2.339523686702258853e+00,4.082339766759325861e-01,7.598452999545798114e+00,2.041169883379662764e+01,1.083156404383789706e+01
3.078947368421052744e+01,3.000000000000000000e+00,1.000000000000000000e+01,3.092438597135022604e+01,3.149458741495590797e+00,2.022997434432366681e+00,5.756922861686117887e-01,1.572188428097448298e+00,6.219294572711090430e-01,5.106253014333593576e+00,2.073098190903697002e+01,1.291861746168528136e+01,1.280774045699168306e+00,5.061140427910094663e-01,4.159778951843453143e+00,1.687046809303365080e+01,9.139124384577465676e+00
3.078947368421052744e+01,4.000000000000000000e+00,1.000000000000000000e+01,3.097281447883627337e+01,4.509530471709701338e+00,1.704216009805891385e+00,7.462653322090131436e-01,9.562865658278418834e-01,5.938761689615776884e-01,3.105887991577605867e+00,1.484690422403944332e+01,8.976396107808524150e+00,8.603857033213320182e-01,4.809407259673022517e-01,2.794415104804325978e+00,1.202351814918255712e+01,6.667344095440006058e+00
3.078947368421052744e+01,5.000000000000000000e+00,1.000000000000000000e+01,3.083950838310332898e+01,4.722430102252677564e+00,1.666260900305382320e+00,7.655937273874886539e-01,1.307981826095945932e+00,4.036686405828073809e-01,4.248146101850080569e+00,8.073372811656147618e+00,6.160759456753114094e+00,9.986335622304576276e-01,2.922716652090691647e-01,3.243425244851058320e+00,5.845433304181383072e+00,3.353885400806387640e+00
3.078947368421052744e+01,6.000000000000000000e+00,1.000000000000000000e+01,2.962480203424686209e+01,5.424231785444055376e+00,1.513170599202793287e+00,6.048367076486781402e-01,1.476619151664589680e+00,5.757682145559448461e-01,4.795857073782428870e+00,9.596136909265748471e+00,7.195996991524088671e+00,8.313421136821294022e-01,4.271972754223316571e-01,2.700085497429138393e+00,7.119954590372193692e+00,2.648180847525438697e+00
3.447368421052631504e+01,1.000000000000000000e+00,1.000000000000000000e+01,3.746262662939010823e+01,1.009713864690535257e+00,4.100293675519464109e+00,4.990375500268721953e-02,3.154665283094526096e+00,9.713864690535412710e-03,9.150937462411601331e+00,9.713864690535413127e-01,5.061161965732573265e+00,3.750471604184112628e+00,2.015125930880118724e-02,1.087923060755696802e+01,2.015125930880118599e+00,5.346334233438803096e+00
3.447368421052631504e+01,2.000000000000000000e+00,1.000000000000000000e+01,3.650253577669052873e+01,2.248719159310121452e+00,2.687907084824413761e+00,2.709048356446518424e-01,2.375300606753866894e+00,2.536539236046261303e-01,6.890184966156256863e+00,1.268269618023130718e+01,9.786440573193781134e+00,1.880493213627806748e+00,3.619309856103332113e-01,5.454865810523408243e+00,1.809654928051666190e+01,8.404834534326658613e+00
3.447368421052631504e+01,3.000000000000000000e+00,1.000000000000000000e+01,3.587335936045712970e+01,3.381422861245906297e+00,2.210556746440855314e+00,5.854877257633924748e-01,1.925459444537678255e+00,5.151074585293032859e-01,5.585302205529143471e+00,1.717024861764344479e+01,1.137777541158629369e+01,1.028684565045371979e+00,5.207648433824335621e-01,2.983970494024743125e+00,1.735882811274779058e+01,8.297801659886285819e+00
3.447368421052631504e+01,4.000000000000000000e+00,1.000000000000000000e+01,3.502909749556924623e+01,4.024123991784920307e+00,2.001005748136866380e+00,6.769840841629188866e-01,1.393927322382754186e+00,6.110171246226803188e-01,4.043453301568294300e+00,1.527542811556700642e+01,9.659440708567652578e+00,1.113357629534221127e+00,3.382377007468205243e-01,3.229587016969496016e+00,8.455942518670513053e+00,4.519176016594516732e+00
3.447368421052631504e+01,5.000000000000000000e+00,1.000000000000000000e+01,3.477343636552457440e+01,5.041340820004413636e+00,1.808775194152485000e+00,6.891089648894406228e-01,1.009556434389252688e+00,5.066661504827387752e-01,2.928484313495542501e+00,1.013332300965477373e+01,6.530903661575157670e+00,7.687829818237690294e-01,1.749259124970925505e-01,2.230057504526963719e+00,3.498518249941851455e+00,2.735346051863833505e+00
3.447368421052631504e+01,6.000000000000000000e+00,1.000000000000000000e+01,3.416529948550483908e+01,5.249478489032755490e+00,1.749242022135192087e+00,6.542122361413692522e-01,1.498270040198710351e+00,7.505215109672451756e-01,4.346126834164198094e+00,1.250869184945408463e+01,8.427409341809141807e+00,1.271002296917109087e+00,4.626351478366488301e-01,3.686876891820622060e+00,7.710585797277479614e+00,4.363879015069853651e+00
3.815789473684210265e+01,1.000000000000000000e+00,1.000000000000000000e+01,3.813088600844898934e+01,1.010993091288427292e+00,4.159224564459582218e+00,5.314618162570283744e-02,3.618333559693586388e+00,1.099309128842724734e-02,9.482529328852157491e+00,1.099309128842724803e+00,5.290919228847441147e+00,1.731515950055715569e+00,3.011102149996664271e-02,4.537765938077048311e+00,3.011102149996664590e+00,2.064626246430937506e+00
3.815789473684210265e+01,2.000000000000000000e+00,1.000000000000000000e+01,3.852276404577050073e+01,2.002592528758949442e+00,3.071718914275578527e+00,3.293271251031801850e-01,2.274118394647958397e+00,2.142189270291129100e-01,5.959758551491201928e+00,1.071094635145564666e+01,8.335352451473422519e+00,1.937269737898779765e+00,2.408749315898878196e-01,5.076982761389905896e+00,1.204374657949439253e+01,6.416144024537850044e+00
3.815789473684210265e+01,3.000000000000000000e+00,1.000000000000000000e+01,3.842205516512462538e+01,3.099201623768627734e+00,2.424661764704966416e+00,5.352354930737471816e-01,1.578490503562417713e+00,2.687058695395602159e-01,4.136733733473922925e+00,8.956862317985338606e+00,6.546798025729630766e+00,1.331513577136005377e+00,1.957872013444828807e-01,3.489483857321945326e+00,6.526240044816095320e+00,3.372215849543573007e+00
3.815789473684210265e+01,4.000000000000000000e+00,1.000000000000000000e+01,3.715455480416870415e+01,4.239738593319390958e+00,2.056108163869040606e+00,7.257495423735600415e-01,1.499941593777439408e+00,4.597678824797069019e-01,3.930881418175359077e+00,1.149419706199267210e+01,7.712539240084017145e+00,1.516531675237016374e+00,3.359567862407701333e-01,3.974358873034939954e+00,8.398919656019252500e+00,4.645607484488220251e+00
3.815789473684210265e+01,5.000000000000000000e+00,1.000000000000000000e+01,3.933591676913020763e+01,5.273242955518475661e+00,1.957096888248441191e+00,6.464378504620826860e-01,1.726346599120620384e+00,4.037891651541332116e-01,4.524218673557487413e+00,8.075783303082662457e+00,6.300000988320077155e+00,1.544845042957021741e+00,2.747636093043165917e-01,4.048559422921850448e+00,5.495272186086332056e+00,3.839243468021765526e+00
3.815789473684210265e+01,6.000000000000000000e+00,1.000000000000000000e+01,3.808951870921539040e+01,5.510473376529054335e+00,1.867382054879622277e+00,5.776905213117364823e-01,1.440541797923579281e+00,4.895266234709448883e-01,3.775212987661793473e+00,8.158777057849082581e+00,5.966995022755437361e+00,8.076294571637782083e-01,2.783253194268163200e-01,2.116546163601625619e+00,4.638755323780273443e+00,3.009622453075377013e+00
4.184210526315789025e+01,1.000000000000000000e+00,1.000000000000000000e+01,4.298721441853982128e+01,1.007281970347424283e+00,4.741794771385296592e+00,5.394757948651741908e-02,4.298128962147989895e+00,7.281970347424215721e-03,1.027225789695745917e+01,7.281970347424215895e-01,5.500227465849940600e+00,2.625720819070228362e+00,1.191998157680672354e-02,6.275307617903691515e+00,1.191998157680672188e+00,3.063007529770026771e+00
4.184210526315789025e+01,2.000000000000000000e+00,1.000000000000000000e+01,4.245357110647614007e+01,2.259578757357881607e+00,3.137357144706505174e+00,3.621224634590253788e-01,2.947054189227882315e+00,2.860358693867164348e-01,7.043274162934562987e+00,1.430179346933581996e+01,1.067253381613519103e+01,1.992264341230984170e+00,2.728693748305183742e-01,4.761386475897950277e+00,1.364346874152591660e+01,6.545409945528132489e+00
4.184210526315789025e+01,3.000000000000000000e+00,1.000000000000000000e+01,4.228358641978937982e+01,3.105136118124453226e+00,2.690453404188124065e+00,5.304940688041164254e-01,1.900370045895796611e+00,4.416772455225134175e-01,4.541764889562282193e+00,1.472257485075044769e+01,9.632169870156365832e+00,1.329306378707194369e+00,3.745620342584820572e-01,3.176958640935433120e+00,1.248540114194940287e+01,5.874477144475681811e+00
4.184210526315789025e+01,4.000000000000000000e+00,1.000000000000000000e+01,4.216202889120388164e+01,3.955736595151763346e+00,2.380425020366650379e+00,6.870680862745278672e-01,1.409430155920634364e+00,3.109175537458235272e-01,3.368449429244284143e+00,7.772938843645587959e+00,5.570694136444936717e+00,5.578308566048650885e-01,2.371528500456266675e-01,1.333180663583954262e+00,5.928821251140666604e+00,2.814112069469832722e+00
